"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.727192849,
"OECD","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.798587613,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.573468106,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.633019057,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.20888564,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.221386725,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.617989999,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.581004006,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.450862093,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.028004848,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.727455546,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-10.446842628,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q3",9.407047697,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.057241495,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.742649274,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.70059141,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.095904295,
